t_mono_ns,power_W,src,valid
2679543766220285,2.529254,batt,1
2679543766779278,2.529254,batt,1
2679543767329261,2.529254,batt,1
2679543767887629,2.529254,batt,1
2679543768444122,2.529254,batt,1
2679543768996137,2.529254,batt,1
2679543769555130,2.529254,batt,1
2679543770109852,2.529254,batt,1
2679543771364917,2.529254,batt,1
2679543771928389,2.529254,batt,1
2679543772509309,2.529254,batt,1
2679543773070281,2.529254,batt,1
2679543773885724,2.529254,batt,1
2679543774437842,2.529254,batt,1
2679543774990325,2.529254,batt,1
2679543775554058,2.529254,batt,1
2679543776124300,2.529254,batt,1
2679543776682408,2.529254,batt,1
2679543777239370,2.529254,batt,1
2679543777992159,2.529254,batt,1
2679543778555371,2.529254,batt,1
2679543805458597,2.529254,batt,1
2679543905489080,0.718136,batt,1
2679544005506023,0.718136,batt,1
2679544105497237,0.626446,batt,1
2679544205489597,0.626446,batt,1
2679544305491384,0.626446,batt,1
