Tracing USDT probes and IO intervals... Ctrl-C to stop.

===== Phase Report (start–stop) =====

-- Summary by Phase --
Phase                                               Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
Transpose (ND, X32)[55,0]                               1       0.004       0.004       0.004         0.004
Transpose (ND, X32)[57,0]                              26       0.007       0.006       0.010         0.179
Transpose (ND, X32)[58,0]                              26       0.004       0.003       0.005         0.094
Transpose (ND, X32)[68,0]                              26       0.004       0.003       0.005         0.096

-- Top-7 Phases by Avg(ms) --
Phase                                                   Avg(ms)     Ratio(%)       Cum(%)
Fully Connected (NC, QDU8, F32, QC8W)[39,0]               5.829         10.6         10.6
Fully Connected (NC, QDU8, F32, QC8W)[25,0]               5.600         10.2         20.8
Fully Connected (NC, QDU8, F32, QC8W)[31,0]               5.553         10.1         31.0
Fully Connected (NC, QDU8, F32, QC8W)[29,0]               5.544         10.1         41.1
Fully Connected (NC, QDU8, F32, QC8W)[26,0]               5.525         10.1         51.2
Fully Connected (NC, QDU8, F32, QC8W)[30,0]               5.341          9.7         60.9
Fully Connected (NC, QDU8, F32, QC8W)[28,0]               5.268          9.6         70.5

-- Diagnostics --
in-flight phases without END : 1
=====================================



===== ops Breakdown (per occurrence) =====
Total occurrences recorded: 3864
[0] Operator Static Reshape (NC)[0,0]: Elapsed 0 (ms)
[1] Operator Static Reshape (NC)[1,0]: Elapsed 0 (ms)
[2] Operator Multiply (ND)[2,0]: Elapsed 0 (ms)
[3] Operator Cosine (NC)[3,0]: Elapsed 0 (ms)
[4] Operator Sine (NC)[4,0]: Elapsed 0 (ms)
[5] Operator Static Reshape (NC)[5,0]: Elapsed 0 (ms)
[6] Operator Multiply (ND)[6,0]: Elapsed 0 (ms)
[7] Operator Sum (ND)[7,0]: Elapsed 0 (ms)
[8] Operator Multiply (ND)[8,0]: Elapsed 0 (ms)
[9] Operator Add (ND)[9,0]: Elapsed 0 (ms)
[10] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[11] Operator Reciprocal Square Root (NC)[11,0]: Elapsed 0 (ms)
[12] Operator Multiply (ND)[12,0]: Elapsed 0 (ms)
[13] Operator Multiply (ND)[13,0]: Elapsed 0 (ms)
[14] Operator Fully Connected (NC, QDU8, F32, QC8W)[14,0]: Elapsed 5 (ms)
[15] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[16] Operator Slice (ND, X32)[16,0]: Elapsed 0 (ms)
[17] Operator Slice (ND, X32)[17,0]: Elapsed 0 (ms)
[18] Operator Slice (ND, X32)[18,0]: Elapsed 0 (ms)
[19] Operator Static Reshape (NC)[19,0]: Elapsed 0 (ms)
[20] Operator Transpose (ND, X32)[20,0]: Elapsed 0 (ms)
[21] Operator Slice (ND, X32)[21,0]: Elapsed 0 (ms)
[22] Operator Slice (ND, X32)[22,0]: Elapsed 0 (ms)
[23] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[24] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[25] Operator Subtract (ND)[25,0]: Elapsed 0 (ms)
[26] Operator Multiply (ND)[26,0]: Elapsed 0 (ms)
[27] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[28] Operator Add (ND)[28,0]: Elapsed 0 (ms)
