Tracing USDT probes and IO intervals... Ctrl-C to stop.

===== Phase Report (start–stop) =====

-- Summary by Phase --
Phase                                               Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
[2803] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[2804] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[2805] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[2806] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[2807] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[2808] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[2809] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[2810] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[2811] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[2812] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[2813] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[2814] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[2815] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[2816] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[2817] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[2818] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[2819] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[2820] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 1 (ms)
[2821] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[2822] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[2823] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[2824] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[2825] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[2826] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[2827] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[2828] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[2829] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 5 (ms)
[2830] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[2831] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[2832] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 4 (ms)
[2833] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[2834] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 5 (ms)
[2835] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[2836] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[2837] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[2838] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[2839] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[2840] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[2841] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[2842] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[2843] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 2 (ms)
[2844] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[2845] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[2846] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[2847] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[2848] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[2849] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[2850] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[2851] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[2852] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[2853] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[2854] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[2855] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[2856] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[2857] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[2858] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[2859] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[2860] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[2861] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[2862] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[2863] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[2864] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[2865] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[2866] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[2867] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[2868] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[2869] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[2870] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[2871] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[2872] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[2873] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[2874] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[2875] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[2876] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[2877] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[2878] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[2879] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[2880] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[2881] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[2882] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[2883] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[2884] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[2885] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[2886] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[2887] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[2888] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[2889] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[2890] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[2891] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[2892] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[2893] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[2894] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[2895] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[2896] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[2897] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 5 (ms)
[2898] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[2899] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[2900] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 5 (ms)
[2901] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[2902] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 5 (ms)
[2903] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[2904] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[2905] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[2906] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[2907] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[2908] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[2909] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[2910] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[2911] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 3 (ms)
[2912] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[2913] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[2914] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[2915] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[2916] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[2917] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[2918] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[2919] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[2920] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[2921] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[2922] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[2923] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[2924] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[2925] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[2926] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[2927] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[2928] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[2929] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[2930] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[2931] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[2932] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[2933] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[2934] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[2935] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[2936] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[2937] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[2938] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[2939] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[2940] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[2941] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[2942] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[2943] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[2944] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[2945] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[2946] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[2947] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[2948] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[2949] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[2950] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[2951] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[2952] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[2953] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[2954] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[2955] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[2956] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 1 (ms)
[2957] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[2958] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[2959] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[2960] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[2961] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[2962] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[2963] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[2964] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[2965] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 6 (ms)
[2966] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[2967] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[2968] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 5 (ms)
[2969] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[2970] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 5 (ms)
[2971] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[2972] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[2973] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[2974] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[2975] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[2976] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[2977] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[2978] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[2979] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 2 (ms)
[2980] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[2981] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[2982] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[2983] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[2984] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[2985] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[2986] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[2987] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[2988] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[2989] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[2990] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[2991] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[2992] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[2993] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[2994] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[2995] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[2996] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[2997] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[2998] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[2999] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[3000] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[3001] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[3002] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[3003] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[3004] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[3005] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[3006] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[3007] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[3008] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[3009] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[3010] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[3011] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[3012] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[3013] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[3014] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[3015] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[3016] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[3017] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[3018] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[3019] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[3020] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[3021] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[3022] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[3023] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[3024] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 1 (ms)
[3025] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[3026] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[3027] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[3028] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[3029] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[3030] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[3031] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[3032] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[3033] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 5 (ms)
[3034] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[3035] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[3036] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 5 (ms)
[3037] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[3038] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 4 (ms)
[3039] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[3040] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[3041] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[3042] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[3043] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[3044] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[3045] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[3046] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[3047] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 3 (ms)
[3048] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[3049] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[3050] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[3051] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[3052] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[3053] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[3054] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[3055] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[3056] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[3057] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[3058] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[3059] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[3060] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[3061] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[3062] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[3063] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[3064] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[3065] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[3066] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[3067] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[3068] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[3069] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[3070] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[3071] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[3072] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[3073] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[3074] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[3075] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[3076] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[3077] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[3078] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[3079] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[3080] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[3081] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[3082] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[3083] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[3084] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[3085] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[3086] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[3087] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[3088] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[3089] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[3090] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[3091] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[3092] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[3093] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[3094] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[3095] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[3096] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[3097] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[3098] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[3099] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[3100] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[3101] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 6 (ms)
[3102] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[3103] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[3104] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 4 (ms)
[3105] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[3106] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 6 (ms)
[3107] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[3108] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[3109] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[3110] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[3111] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[3112] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[3113] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[3114] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[3115] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 3 (ms)
[3116] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[3117] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[3118] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[3119] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[3120] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[3121] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[3122] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[3123] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[3124] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[3125] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[3126] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[3127] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[3128] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[3129] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[3130] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[3131] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[3132] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[3133] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[3134] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[3135] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[3136] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[3137] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[3138] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[3139] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[3140] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[3141] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[3142] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[3143] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[3144] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[3145] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[3146] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[3147] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[3148] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[3149] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[3150] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[3151] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[3152] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[3153] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[3154] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[3155] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[3156] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[3157] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[3158] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[3159] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[3160] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 1 (ms)
[3161] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[3162] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[3163] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[3164] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[3165] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[3166] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[3167] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[3168] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[3169] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 5 (ms)
[3170] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[3171] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[3172] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 5 (ms)
[3173] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[3174] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 4 (ms)
[3175] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[3176] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[3177] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[3178] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[3179] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[3180] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[3181] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[3182] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[3183] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 3 (ms)
[3184] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
