=== XNNPack Weight Cache Structure Dump ===

File Information:
  Total file size: 3239201184 bytes (3089.14 MB)
  File path: ../../models/Llama3.2-3B/llama3.2_q8_ekv1024.xnnpack_cache

Header Information:
  Version: 1 (expected: 1)
  XNNPack build identifier: 13d04b936010b008d5c17c7df1ed3d811c776536d7f2f47233cd8b4bd4337db2
  Buffer list offset: 3239193728 bytes (3089.14 MB)
  Buffer list size: 7456 bytes
  Data section size: 3239193672 bytes (3089.14 MB)

FlatBuffer BufferList Information:
  Base offset: 128 bytes
  Number of buffers: 142

Buffer Details:
  NOTE: This dump reflects the weight cache FILE layout (static) and the process mapping / runtime addresses (dynamic).
        Columns marked [STATIC] come from the on-disk FlatBuffer file;
        Columns marked [DYNAMIC] are process/runtime values (vary by execution).
  Note: 'Offset' is buffer->offset(), relative to BufferList.base_offset() [STATIC].
        'Memory Range' is [base_offset + offset, base_offset + offset + size - 1] (file byte offsets) [STATIC].
        'Mmapped Addr' is the process virtual address where the file was mapped: mmap_base_ptr + (base_offset + offset) [DYNAMIC].
  mmap base pointer: 0x7e9f64800000 (process virtual address base)
  Cache type: FILE-BACKED
Index  | Weight ID    | Pack Algo ID | Bias ID      | Offset     | Size       | Mmapped Addr [DYNAMIC] | Memory Range [DYNAMIC]
70     | 128          | 6222         | None         | 1413931008 | 15790080   | 0x7e9fb8c6e080         | [1413931136-1429721215]
71     | 127          | 78           | None         | 1429721088 | 9474048    | 0x7e9fb9b7d080         | [1429721216-1439195263]
72     | 126          | 11342        | None         | 1439195136 | 25264128   | 0x7e9fba486080         | [1439195264-1464459391]
73     | 125          | 11342        | None         | 1464459264 | 25264128   | 0x7e9fbbc9e080         | [1464459392-1489723519]
74     | 124          | 11342        | None         | 1489723392 | 25202688   | 0x7e9fbd4b6080         | [1489723520-1514926207]
75     | 123          | 6222         | None         | 1514926080 | 15790080   | 0x7e9fbecbf080         | [1514926208-1530716287]
76     | 122          | 78           | None         | 1530716160 | 9474048    | 0x7e9fbfbce080         | [1530716288-1540190335]
77     | 121          | 11342        | None         | 1540190208 | 25264128   | 0x7e9fc04d7080         | [1540190336-1565454463]
78     | 120          | 11342        | None         | 1565454336 | 25264128   | 0x7e9fc1cef080         | [1565454464-1590718591]
79     | 119          | 11342        | None         | 1590718464 | 25202688   | 0x7e9fc3507080         | [1590718592-1615921279]
80     | 118          | 6222         | None         | 1615921152 | 15790080   | 0x7e9fc4d10080         | [1615921280-1631711359]
81     | 117          | 78           | None         | 1631711232 | 9474048    | 0x7e9fc5c1f080         | [1631711360-1641185407]
82     | 116          | 11342        | None         | 1641185280 | 25264128   | 0x7e9fc6528080         | [1641185408-1666449535]
83     | 115          | 11342        | None         | 1666449408 | 25264128   | 0x7e9fc7d40080         | [1666449536-1691713663]
84     | 114          | 11342        | None         | 1691713536 | 25202688   | 0x7e9fc9558080         | [1691713664-1716916351]
85     | 113          | 6222         | None         | 1716916224 | 15790080   | 0x7e9fcad61080         | [1716916352-1732706431]
86     | 112          | 78           | None         | 1732706304 | 9474048    | 0x7e9fcbc70080         | [1732706432-1742180479]
87     | 111          | 11342        | None         | 1742180352 | 25264128   | 0x7e9fcc579080         | [1742180480-1767444607]
88     | 110          | 11342        | None         | 1767444480 | 25264128   | 0x7e9fcdd91080         | [1767444608-1792708735]
89     | 109          | 11342        | None         | 1792708608 | 25202688   | 0x7e9fcf5a9080         | [1792708736-1817911423]
90     | 108          | 6222         | None         | 1817911296 | 15790080   | 0x7e9fd0db2080         | [1817911424-1833701503]
91     | 107          | 78           | None         | 1833701376 | 9474048    | 0x7e9fd1cc1080         | [1833701504-1843175551]
92     | 106          | 11342        | None         | 1843175424 | 25264128   | 0x7e9fd25ca080         | [1843175552-1868439679]
93     | 105          | 11342        | None         | 1868439552 | 25264128   | 0x7e9fd3de2080         | [1868439680-1893703807]
94     | 104          | 11342        | None         | 1893703680 | 25202688   | 0x7e9fd55fa080         | [1893703808-1918906495]
95     | 103          | 6222         | None         | 1918906368 | 15790080   | 0x7e9fd6e03080         | [1918906496-1934696575]
96     | 102          | 78           | None         | 1934696448 | 9474048    | 0x7e9fd7d12080         | [1934696576-1944170623]
97     | 101          | 11342        | None         | 1944170496 | 25264128   | 0x7e9fd861b080         | [1944170624-1969434751]
98     | 100          | 11342        | None         | 1969434624 | 25264128   | 0x7e9fd9e33080         | [1969434752-1994698879]
99     | 99           | 11342        | None         | 1994698752 | 25202688   | 0x7e9fdb64b080         | [1994698880-2019901567]
100    | 98           | 6222         | None         | 2019901440 | 15790080   | 0x7e9fdce54080         | [2019901568-2035691647]
101    | 97           | 78           | None         | 2035691520 | 9474048    | 0x7e9fddd63080         | [2035691648-2045165695]
102    | 96           | 11342        | None         | 2045165568 | 25264128   | 0x7e9fde66c080         | [2045165696-2070429823]
103    | 95           | 11342        | None         | 2070429696 | 25264128   | 0x7e9fdfe84080         | [2070429824-2095693951]
104    | 94           | 11342        | None         | 2095693824 | 25202688   | 0x7e9fe169c080         | [2095693952-2120896639]
105    | 93           | 6222         | None         | 2120896512 | 15790080   | 0x7e9fe2ea5080         | [2120896640-2136686719]
106    | 92           | 78           | None         | 2136686592 | 9474048    | 0x7e9fe3db4080         | [2136686720-2146160767]
107    | 91           | 11342        | None         | 2146160640 | 25264128   | 0x7e9fe46bd080         | [2146160768-2171424895]
108    | 90           | 11342        | None         | 2171424768 | 25264128   | 0x7e9fe5ed5080         | [2171424896-2196689023]
109    | 89           | 11342        | None         | 2196688896 | 25202688   | 0x7e9fe76ed080         | [2196689024-2221891711]
110    | 88           | 6222         | None         | 2221891584 | 15790080   | 0x7e9fe8ef6080         | [2221891712-2237681791]
111    | 87           | 78           | None         | 2237681664 | 9474048    | 0x7e9fe9e05080         | [2237681792-2247155839]
112    | 86           | 11342        | None         | 2247155712 | 25264128   | 0x7e9fea70e080         | [2247155840-2272419967]
113    | 85           | 11342        | None         | 2272419840 | 25264128   | 0x7e9febf26080         | [2272419968-2297684095]
114    | 84           | 11342        | None         | 2297683968 | 25202688   | 0x7e9fed73e080         | [2297684096-2322886783]
115    | 83           | 6222         | None         | 2322886656 | 15790080   | 0x7e9feef47080         | [2322886784-2338676863]
116    | 82           | 78           | None         | 2338676736 | 9474048    | 0x7e9fefe56080         | [2338676864-2348150911]
117    | 81           | 11342        | None         | 2348150784 | 25264128   | 0x7e9ff075f080         | [2348150912-2373415039]
118    | 80           | 11342        | None         | 2373414912 | 25264128   | 0x7e9ff1f77080         | [2373415040-2398679167]
119    | 79           | 11342        | None         | 2398679040 | 25202688   | 0x7e9ff378f080         | [2398679168-2423881855]
120    | 78           | 6222         | None         | 2423881728 | 15790080   | 0x7e9ff4f98080         | [2423881856-2439671935]
121    | 77           | 78           | None         | 2439671808 | 9474048    | 0x7e9ff5ea7080         | [2439671936-2449145983]
122    | 76           | 11342        | None         | 2449145856 | 25264128   | 0x7e9ff67b0080         | [2449145984-2474410111]
123    | 75           | 11342        | None         | 2474409984 | 25264128   | 0x7e9ff7fc8080         | [2474410112-2499674239]
124    | 74           | 11342        | None         | 2499674112 | 25202688   | 0x7e9ff97e0080         | [2499674240-2524876927]
125    | 73           | 6222         | None         | 2524876800 | 15790080   | 0x7e9ffafe9080         | [2524876928-2540667007]
126    | 72           | 78           | None         | 2540666880 | 9474048    | 0x7e9ffbef8080         | [2540667008-2550141055]
127    | 71           | 11342        | None         | 2550140928 | 25264128   | 0x7e9ffc801080         | [2550141056-2575405183]
128    | 70           | 11342        | None         | 2575405056 | 25264128   | 0x7e9ffe019080         | [2575405184-2600669311]
129    | 69           | 11342        | None         | 2600669184 | 25202688   | 0x7e9fff831080         | [2600669312-2625871999]
130    | 68           | 6222         | None         | 2625871872 | 15790080   | 0x7ea00103a080         | [2625872000-2641662079]
131    | 67           | 78           | None         | 2641661952 | 9474048    | 0x7ea001f49080         | [2641662080-2651136127]
132    | 66           | 11342        | None         | 2651136000 | 25264128   | 0x7ea002852080         | [2651136128-2676400255]
133    | 65           | 11342        | None         | 2676400128 | 25264128   | 0x7ea00406a080         | [2676400256-2701664383]
134    | 64           | 11342        | None         | 2701664256 | 25202688   | 0x7ea005882080         | [2701664384-2726867071]
135    | 63           | 6222         | None         | 2726866944 | 15790080   | 0x7ea00708b080         | [2726867072-2742657151]
136    | 62           | 78           | None         | 2742657024 | 9474048    | 0x7ea007f9a080         | [2742657152-2752131199]
137    | 61           | 11342        | None         | 2752131072 | 25264128   | 0x7ea0088a3080         | [2752131200-2777395327]
138    | 60           | 11342        | None         | 2777395200 | 25264128   | 0x7ea00a0bb080         | [2777395328-2802659455]
139    | 59           | 11342        | None         | 2802659328 | 25202688   | 0x7ea00b8d3080         | [2802659456-2827862143]
140    | 284          | 129358       | None         | 2827862016 | 395541504  | 0x7ea00d0dc080         | [2827862144-3223403647]
141    | 198          | 6222         | None         | 3223403520 | 15790080   | 0x7ea024a13c80         | [3223403648-3239193727]

Internal Cache State in Weight Cache:
  cache_key_to_offset_ entries: 142
  offset_to_addr_ entries: 142
  mmap_buffer_base_offset_: 128
  Number of mmap handles: 1

Cache Key Mappingss :
Weight ID    | Pack Algo ID | Bias ID      | Offset     | Size
     ---------------------------------------------------------------------------
284          | 129358       | None         | 2827862016 | 395541504 
59           | 11342        | None         | 2802659328 | 25202688  
60           | 11342        | None         | 2777395200 | 25264128  
61           | 11342        | None         | 2752131072 | 25264128  
63           | 6222         | None         | 2726866944 | 15790080  
64           | 11342        | None         | 2701664256 | 25202688  
69           | 11342        | None         | 2600669184 | 25202688  
71           | 11342        | None         | 2550140928 | 25264128  
144          | 11342        | None         | 1085743104 | 25202688  
62           | 78           | None         | 2742657024 | 9474048   
198          | 6222         | None         | 3223403520 | 15790080  
198          | 6222         | None         | 0          | 15790080  
146          | 11342        | None         | 1035214848 | 25264128  
70           | 11342        | None         | 2575405056 | 25264128  
147          | 78           | None         | 1025740800 | 9474048   
151          | 11342        | None         | 934219776  | 25264128  
149          | 11342        | None         | 984748032  | 25202688  
179          | 11342        | None         | 378777600  | 25202688  
