=== XNNPack Weight Cache Structure Dump ===

File Information:
  Total file size: 3223411056 bytes (3074.08 MB)
  File path: ../../models/Llama3.2-3B/llama3.2_q8_ekv1024.xnnpack_cache

Header Information:
  Version: 1 (expected: 1)
  XNNPack build identifier: 13d04b936010b008d5c17c7df1ed3d811c776536d7f2f47233cd8b4bd4337db2
  Buffer list offset: 3223403648 bytes (3074.08 MB)
  Buffer list size: 7408 bytes
  Data section size: 3223403592 bytes (3074.08 MB)

FlatBuffer BufferList Information:
  Base offset: 128 bytes
  Number of buffers: 141

Buffer Details:
Index  | Pack Algo ID | Weights ID   | Bias ID      | Offset     | Size       | Absolute Addr    | Memory Range
11342        | 124          | None         | 1489723392 | 25202688  
78           | 72           | None         | 2540666880 | 9474048   
6222         | 98           | None         | 2019901440 | 15790080  
11342        | 74           | None         | 2499674112 | 25202688  
11342        | 96           | None         | 2045165568 | 25264128  
11342        | 95           | None         | 2070429696 | 25264128  
11342        | 105          | None         | 1868439552 | 25264128  
6222         | 93           | None         | 2120896512 | 15790080  
78           | 177          | None         | 419770368  | 9474048   
11342        | 100          | None         | 1969434624 | 25264128  
6222         | 88           | None         | 2221891584 | 15790080  
78           | 87           | None         | 2237681664 | 9474048   
11342        | 86           | None         | 2247155712 | 25264128  
11342        | 81           | None         | 2348150784 | 25264128  
78           | 167          | None         | 621760512  | 9474048   
11342        | 90           | None         | 2171424768 | 25264128  
6222         | 78           | None         | 2423881728 | 15790080  
11342        | 76           | None         | 2449145856 | 25264128  
6222         | 188          | None         | 201990144  | 15790080  
11342        | 75           | None         | 2474409984 | 25264128  
11342        | 85           | None         | 2272419840 | 25264128  
6222         | 73           | None         | 2524876800 | 15790080  
